#	week	day	japanese	pronounciation	translation	1d	2d	6d	12d	30d	100d	Last studied	Correct_Streak
1	1	1	行く	iku	go	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
2	1	1	見る	miru	see, look at	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
3	1	1	多い	ooi	a lot of, many	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
4	1	1	家	ie	home, household	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
7	1	1	私	watashi	I	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
8	1	1	仕事	shigoto	work, job	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
11	1	2	出る	deru	go out, leave	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
12	1	2	使う	tsukau	use, make use of	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
13	1	2	所	tokoro	place	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
14	1	2	作る	tsukuru	make, create	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
15	1	2	思う	omou	think	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
16	1	2	持つ	motsu	have, possess	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
17	1	2	買う	kau	buy	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5
18	1	2	時間	jikan	time, hour	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
19	1	2	知る	shiru	know	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
20	1	2	同じ	onaji	same, identical	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5
21	1	3	今	ima	now	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
22	1	3	新しい	atarashii	new	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
26	1	3	聞く	kiku	hear, ask	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
27	1	3	言う	iu	say, tell	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
28	1	3	少ない	sukunai	few, little	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
29	1	3	高い	takai	high, tall	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
30	1	3	子供	kodomo	child	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
33	1	4	学生	gakusei	student	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
34	1	4	熱い	atsui	hot (to touch)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
36	1	4	午後	gogo	afternoon, p.m.	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
37	1	4	長い	nagai	long	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
39	1	4	今年	kotoshi	this year (colloquial)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
41	1	5	彼女	kanojo	she, one’s girlfriend	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
43	1	5	言葉	kotoba	word, language	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
44	1	5	顔	kao	face	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
45	1	5	終わる	owaru	finish, end	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
46	1	5	一つ	hitotsu	one (thing)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
49	1	5	学校	gakkou	school	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
50	1	5	くれる	kureru	be given	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
51	1	6	始める	hajimeru	start (something)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
52	1	6	起きる	okiru	get up, get out of bed	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
53	1	6	春	haru	spring	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
54	1	6	午前	gozen	morning, a.m.	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
55	1	6	別	betsu	another, different	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
57	1	6	部屋	heya	room	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
58	1	6	若い	wakai	young	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
59	1	6	車	kuruma	car, automobile	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
60	1	6	置く	oku	put, place	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
61	1	7	住む	sumu	live, reside	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
62	1	7	働く	hataraku	work	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
63	1	7	難しい	muzukashii	difficult	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
64	1	7	先生	sensei	teacher	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
65	1	7	立つ	tatsu	stand, rise	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
66	1	7	呼ぶ	yobu	call, name	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
67	1	7	大学	daigaku	university, college	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
68	1	7	安い	yasui	cheap, inexpensive	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
70	1	7	帰る	kaeru	go back home	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
71	2	1	分かる	wakaru	understand	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
