Japanese|Romaji|English
食べさせられなかった|tabesaserarenakatta|was not made to eat|2
行かされている|ikasareteiru|is being forced to go|2
読ませていただきました|yomasete itadakimashita|I humbly had the opportunity to read|2
書かざるを得ない|kakazaru o enai|cannot avoid writing|2
話されかねない|hanasarekane nai|might be spoken (risk of)|2
見られがちだ|miraregachi da|tends to be seen|2
来るべきだった|kuru beki datta|should have come|2
やってみせる|yatte miseru|will do and show|2
信じきれない|shinjikirenai|cannot fully believe|2
終わりかけている|owarikakete iru|is about to finish|2
食べておいた|tabete oita|ate in advance|2
言ってしまった|itte shimatta|ended up saying|2
忘れられていた|wasurerarete ita|had been forgotten|2
見せてくれない|misete kurenai|won’t show me|2
やらせてくれた|yarasete kureta|let me do it|2
書いてもらえない|kaite moraenai|can’t get someone to write|2
考え直させられた|kangae naosasareta|was forced to reconsider|2
行かないではいられない|ikanai de wa irarenai|can’t help but go|2
食べずにはいられない|tabezu ni wa irarenai|can’t help but eat|2
見ないことには始まらない|minai koto ni wa hajimaranai|can’t start without seeing|2
やってみたらどうだ|yatte mitara dou da|why not try doing it|2
言わんばかりだ|iwan bakari da|as if to say|2
来るはずだった|kuru hazu datta|was supposed to come|2
終わるところだった|owaru tokoro datta|was about to end|2
やり終えてしまった|yari oete shimatta|finished completely|2
書き続けている|kaki tsuzukete iru|continue writing|2
読み終わらせた|yomi owaraseta|finished reading (causative)|2
行かせていただきます|ikasete itadakimasu|I will humbly go|2
食べられずにいる|taberarezu ni iru|unable to eat|2
見させられている|misasarete iru|being forced to watch|2
信じてみせる|shinjite miseru|will show by believing|2
やりかねない|yarikane nai|might do (undesirable)|2
話してばかりいる|hanashite bakari iru|doing nothing but talking|2
食べてばかりいる|tabete bakari iru|doing nothing but eating|2
書かれつつある|kakaretsutsu aru|is being written|2
進みつつある|susumi tsutsu aru|is progressing|2
見ていられない|mite irarenai|can’t bear to watch|2
やらないこともない|yaranai koto mo nai|might do it|2
行かないわけにはいかない|ikanai wake ni wa ikanai|must go|2
言わずにはいられない|iwazu ni wa irarenai|can’t help but say|2
食べるに違いない|taberu ni chigai nai|must eat (certain)|2
来るに決まっている|kuru ni kimatte iru|is निश्चित to come|2
見られなくもない|mirarenaku mo nai|not impossible to see|2
やれないことはない|yarenai koto wa nai|not impossible to do|2
書かせられた|kakaserareta|was made to write|2
食べさせてくれた|tabesasete kureta|let me eat|2
行かせてもらった|ikasete moratta|was allowed to go|2
読んでおかなかった|yonde okanakatta|did not read in advance|2
見てしまいそうだ|mite shimai sou da|looks like will end up seeing|2
やりかけた|yarikaketa|started doing|2
書き終えた|kaki oeta|finished writing|2
読みかけの本|yomikake no hon|a book half-read|2
行きかけたところだった|ikikaketa tokoro datta|was about to go|2
食べられるようになった|taberareru you ni natta|became able to eat|2
見えるようになった|mieru you ni natta|became visible|2
やらせられることになる|yaraserareru koto ni naru|will be made to do|2
書かされることが多い|kakasareru koto ga ooi|often made to write|2
読まれるべきだ|yomareru beki da|should be read|2
行くべきではなかった|iku beki de wa nakatta|should not have gone|2
食べるしかない|taberu shika nai|have no choice but eat|2
見てみたい|mite mitai|want to try seeing|2
やってみたかった|yatte mitakatta|wanted to try doing|2
書いてみるつもりだ|kaite miru tsumori da|plan to try writing|2
読んでみればよかった|yonde mireba yokatta|should have tried reading|2
