Vocab-expression	Vocab-meaning	Vocab-sound-local
円	yen	en	1
金	money	kane	1
先	ahead, first	saki	1
そば	side, vicinity	soba	1
右	right	migi	1
あげる	give	ageru	1
おなか	stomach	onaka	1
空く	be empty	suku	1
好き	favorite, liked	suki	1
一人	one, one person	hitori	1
友達	friend, companion	tomodachi	1
帰る	return, go back	kaeru	1
元気	healthy, energetic	genki	1
天気	weather	tenki	1
少ない	few, little	sukunai	1
晴れる	be sunny, clear up	hareru	1
上	up, above	ue	1
開く	open	hiraku	1
口	mouth	kuchi	1
閉める	shut, close	shimeru	1
時間	time, hour	jikan	1
後ろ	back, behind	ushiro	1
午前	morning, a.m.	gozen	1
今晩	this evening, tonight	konban	1
土曜日	Saturday	doyoubi	1
月	moon	tsuki	1
夜	night (from sunset to sunrise)	yoru	1
食べる	eat	taberu	1
何	what, which	nani	1
晩	evening (usually from sunset to bedtime)	ban	1
ご飯	cooked rice, meal	gohan	1
昼	daytime, midday	hiru	1
見つかる	be found, be caught	mitsukaru	1
男	man, male	otoko	1
今週	this week	konshuu	1
こう	like this, this kind of	kou	1
会う	meet	au	1
昨日	yesterday	kinou	1
休む	take a day off, take a break	yasumu	1
木曜日	Thursday	mokuyoubi	1
場合	situation, case	baai	1
つける	switch on	tsukeru	1
駅	railway station	eki	1
止める	stop, give up, abolish	yameru	1
歩く	walk, go on foot	aruku	1
近く	near, close to	chikaku	1
近い	near, soon	chikai	1
近く	vicinity, nearby	chikaku	1
全部	all, wholly	zenbu	1
国	country	kuni	1
漢字	character, kanji	kanji	1
米	rice (grain)	kome	1
無い	to not be	nai	1
作る	make, create	tsukuru	1
使う	use	tsukau	1
消す	switch off, turn off	kesu	1
閉まる	be shut, be closed	shimaru	1
前	front, before	mae	1
店	shop, store	mise	1
部屋	room	heya	1
夏	summer	natsu	1
暑い	hot, warm (temperature of the air)	atsui	1
熱い	hot (things, touch)	atsui	1
冬	winter	fuyu	1
入る	enter	hairu	1
寒い	cold (temperature of the air)	samui	2
春	spring	haru	1
暖かい	warm	atatakai	1
見つける	find	mitsukeru	1
古い	old	furui	1
悪い	bad	warui	1
思う	think	omou	1
考える	think, consider	kangaeru	1
決める	decide, agree upon	kimeru	1
高い	high, tall	takai	1
多い	lots of	ooi	1
午後	afternoon, p.m.	gogo	1
重い	heavy	omoi	1
待つ	wait, wait for	matsu	1
持つ	have, possess	motsu	1
先生	teacher	sensei	2
電車	train	densha	1
遠い	far, distant	tooi	1
名前	name	namae	1
勉強	study	benkyou	1
強い	strong	tsuyoi	1
弱い	weak	yowai	1
引く	draw, pull	hiku	1
質問	question	shitsumon	1
難しい	difficult	muzukashii	1
取る	take, get	toru	1
数	number	kazu	1
勝つ	win	katsu	1
負ける	lose	makeru	1
本当に	really, truly	hontouni	1
他	other	hoka	1
時計	clock, watch	tokei	1
払う	pay	harau	1
千	thousand	sen	1
買う	buy	kau	1
要る	need, require	iru	1
忘れる	forget, leave behind	wasureru	1
乗る	ride, take	noru	1
着る	wear, put on	kiru	1
次	next	tsugi	1
週	week	shuu	1
動く	move	ugoku	1
出る	go out, leave	deru	1
早い	early	hayai	1
時	time	toki	1
遅い	slow, late	osoi	1
始める	begin, start	hajimeru	1
年	year, age	toshi	1
始まる	begin	hajimaru	1
終わり	end, conclusion	owari	1
去年	last year	kyonen	1
切る	cut	kiru	1
見る	see, look at	miru	1
楽しむ	enjoy	tanoshimu	1
飲み物	beverage, drink	nomimono	1
後	after	ato	1
見せる	show	miseru	1
直ぐ	at once, soon	sugu	1
書き直す	rewrite	kakinaosu	1
直る	be repaired, return to normal	naoru	1
道	road, street	michi	1
線	line	sen	1
曲がる	turn	magaru	1
左	left	hidari	1
曜日	day of the week	youbi	1
今年	this year	kotoshi	1
行く	go	iku	1
図書館	library	toshokan	1
未だ	yet, more	mada	1
泊まる	stay overnight	tomaru	1
家	house, home	uchi	1
安い	inexpensive, cheap	yasui	1
服	clothes	fuku	1
開ける	open, unlock	akeru	1
父	(speaker's)father	chichi	1
話す	speak, tell	hanasu	1
働く	work	hataraku	1
上手	good, skilled	jouzu	1
妹	younger sister	imouto	1
お兄さん	older brother	oniisan	1
車	car, automobile	kuruma	1
娘	daughter, girl	musume	1
息子	son	musuko	1
女	woman, girl	onna	1
新しい	new	atarashii	1
今	now	ima	1
もう	already, yet	mou	1
よく	often	yoku	1
聞く	hear, ask	kiku	1
若い	young	wakai	1
かなり	fairly, rather	kanari	1
住む	live, reside	sumu	1
立つ	stand, rise	tatsu	1
気持ち	feeling, sensation	kimochi	1
広い	wide, big	hiroi	1
走る	run	hashiru	1
売る	sell	uru	1
教える	teach, tell	oshieru	1
送る	send	okuru	1
書く	write	kaku	1
もらう	receive	morau	1
足	leg, foot	ashi	1
出来る	can do, be good at	dekiru	1
短い	short, brief	mijikai	1
速い	fast	hayai	1
耳	ear, hearing	mimi	1
上げる	raise, improve	ageru	1
楽しい	fun, enjoyable	tanoshii	1
しゃべる	chat, talk	shaberu	1
来る	come	kuru	1
良い	good	ii	1
方	direction, side	hou	1
目	eye	me	2
秋	autumn, fall	aki	1
結婚	marriage	kekkon	1
日	day	nichi	1
自転車	bicycle	jitensha	1
自分	self, oneself	jibun	1
ご主人	(your) husband	goshujin	1
終わる	finish, end	owaru	1
火曜日	Tuesday	kayoubi	1
違う	differ, be wrong	chigau	1
答える	answer, reply	kotaeru	1
なる	become	naru	1
閉じる	close	tojiru	1
出す	take out	dasu	1
仕事	work, job	shigoto	1
今月	this month	kongetsu	1
少し	a bit, a little while	sukoshi	1
酒	alcoholic drink, Japanese rice wine	sake	1
飲む	drink	nomu	1
大人	adult	otona	1
水	water	mizu	1
一杯	full	ippai	1
気	spirit, temperament	ki	1
分かる	understand	wakaru	1
遊ぶ	play	asobu	1
飛行機	airplane	hikouki	1
お願い	favor	onegai	1
続く	continue, follow	tsuzuku	1
首	neck	kubi	1
頭	head	atama	1
痛い	painful	itai	1
探す	search for, look for	sagasu	1
お手洗い	toilet, bathroom	otearai	1
冷たい	cold (things, touch)	tsumetai	1
汚い	dirty	kitanai	1
太い	thick, fat	futoi	1
弟	younger brother	otouto	1
神	god, spirit	kami	1
建てる	build, erect	tateru	1
大きい	big	ookii	1
同じ	same, identical	onaji	1
置く	put, leave	oku	1
辺	vicinity, part	hen	1
やる	do	yaru	1
一緒に	together, at the same time	isshoni	1
来年	next year	rainen	1
緑	green, foliage	midori	1
易しい	easy, simple	yasashii	1
留学生	student studying abroad	ryuugakusei	1
戻る	return, turn back	modoru	1
起きる	get up, get out of bed	okiru	1
起こる	happen	okoru	1
起こす	wake up	okosu	1
起きる	occur	okiru	1
寝る	sleep, go to sleep	neru	1
多分	probably, perhaps	tabun	1
座る	sit, sit down	suwaru	1
本	book, volume	hon	1
細い	thin, slender, narrow	hosoi	1
日記	diary	nikki	1
時々	sometimes	tokidoki	1
締める	tighten, fasten	shimeru	1
甘い	sweet	amai	1
辛い	spicy, salty	karai	1
変える	change	kaeru	1
決まる	be decided	kimaru	1
優しい	gentle, kind	yasashii	1
人	person	hito	1
夫	husband	otto	1
知る	know	shiru	1
誰	who, whom	dare	1
親	parent	oya	1
愛する	love, care for	aisuru	1
くれる	be given	kureru	1
妻	wife	tsuma	1
見える	be visible	mieru	1
