Vocab 	Vocab Furigana 	Vocab Kana 	Vocab Meaning 	Part of Speech 	Sentence Furigana 	Sentence Meaning 	Sentence Lookup 	Example 	Frequency 	Optimized Core Index 
ガイド	ガイド	gaido	guide	verbal noun	ガイド 付[つ]きの 旅行[りょこう]を 申[もう]し 込[こ]んだの。	I signed up for a guided tour.	ガイド  (n,vs) tour guide  旅行 【りょこう】  (n,vs,adj-no) travel; trip  (plain, past) 申し込む 【もうしこむ】  (v5m,vt) to apply for; to make an application; to propose (marriage); to offer (mediation); to make an overture (of peace); to challenge; to lodge (objections); to request (an interview); to subscribe for; to book; to reserve	そのガイドを 咎[とが]めるな。 Don't blame the guide.  日本語[にほんご]のガイドがありますか。 Do you have any museum guides in Japanese?  観光[かんこう]ガイドは 雇[やと]えますか。 Is there a tour guide available? テレビガイドを 見[み]せて 下[くだ]さい。 Please show me the TV Guide.  日本語[にほんご]のガイドが 雇[やと]えますか。 Can I hire a guide who speaks Japanese?  日本語[にほんご]のガイドを 雇[やと]うことができますか。 Can I hire a guide who speaks Japanese? ツアーのガイドは 景色[けしき]を 指[ゆび]さした。 The tour guide pointed out the sight.  私[わたし] 達[たち]はその 少年[しょうねん]をガイドにした。 We made the boy our guide. ガイドは 観光[かんこう] 客[きゃく]に 博物館[はくぶつかん]の 案内[あんない]をした。 A guide conducted the visitors round the museum.  我々[われわれ]はその 山脈[さんみゃく]で 土着[どちゃく]のガイドを 雇[や]った。 We had native guides on our trip to the mountain.	2720	4940
航空券	航空券[こうくうけん]	koukuuken	airline ticket	noun	電話[でんわ]で 航空[こうくう] 券[けん]を 予約[よやく]しました。	I booked an airline ticket by phone.	電話 【でんわ】  (n,vs,adj-no) telephone  航空券 【こうくうけん】  (n) airline ticket; plane ticket; air ticket  予約 【よやく】  (n,vs,adj-no) (1) reservation; appointment; booking; advance order; (2) contract; subscription; pledge  しました  (aux-v) did	帰[かえ]りの 航空[こうくう] 券[けん]はありますか。 Do you have a return ticket to Japan?  帰路[きろ]の 航空[こうくう] 券[けん]を 見[み]せてください。 Could you show me your return ticket?  航空[こうくう] 券[けん]は 飛行場[ひこうじょう]で 受け取[うけと]れますか。 Can I pick my ticket up at the airport?  航空[こうくう] 券[けん]はどこで 受け取[うけと]ればいいのですか。 Where can I pick up my ticket?  私[わたし]は 東京[とうきょう]までの 帰[かえ]りの 航空[こうくう] 券[けん]を 持[ ]っています。 I have a return ticket to Tokyo.  私[わたし]は 大阪[おおさか]までの 帰[かえ]りの 航空[こうくう] 券[けん]を 持[ ]っています。 I have a return ticket to Osaka.  私[わたし]は 大阪[おおさか]までの 往復[おうふく] 航空[こうくう] 券[けん]を 持[ ]っています。 I have a round-trip ticket to Osaka.  国内[こくない] 便[びん]の 安[やす]い 航空[こうくう] 券[けん]はありますか。 Do you have a cheap flight ticket on a domestic line?  私[わたし]たちは 前[まえ]もって２カ 月[げつ] 前[まえ]に 航空[こうくう] 券[けん]を 買[ ]った。 We bought our plane tickets two months in advance. もう 少[すこ]し 安[やす]ければその 航空[こうくう] 券[けん]を 買[ ]っただろうに。 We would have bought the plane tickets if the price had been a little lower.	44042	3967	1
栓抜き	栓抜[せんぬ]き	sennuki	bottle opener	noun	栓[せん] 抜[ぬ]きはどこですか。	Where's the bottle opener?	栓抜き 【せんぬき】  (n) bottle opener; corkscrew	少年がコルク栓抜きを持って戻ってきた。 The boy came back with the corkscrew. 栓をガス抜きトグル28に取り付けてガス抜き孔ガス抜きトグルを手で回すと、これに関連したガス抜き孔が開閉される。 When the plug is attached to a degassing toggle 28, and the degassing toggle of the degassing hole is rotated manually, the associated degassing hole is opened/closed. コルク栓を栓抜きする場合に、使う人によって個人差が出ないように安全に、失敗無く、簡単で楽に栓抜きできる電動式のコルク栓抜き器を提供することにある。 To provide an electric cork opener capable of simply, easily and safely unplugging a cork without failure so as to avoid an individual variation depending on a user when unplugging the cork. 塗装膜１ｃが乾いてから、栓を抜き取り、外ケース１を支持型から抜き取る。 After the coating film 1c is dried, the plug is pulled out, and the outer case 1 is extracted from the support die. 一升瓶の蓋を、容易に抜き差しすることができる栓の抜き差し具を提供する。 To provide a plug removing-inserting implement, which can easily remove/insert the lid of a 1.8 liter bottle. 撥水性および撥油性に優れた軸受用空気抜き栓を提供する。 To provide an air vent plug for a bearing excellent in water repellency and oil repellency. 液体用の移送および貯蔵用容器のためのプラスチック製の栓ケーシングを有する抜き取り栓を提供する。 To provide a tapping valve with a plastic valve casing for shipping and storage containers for liquids. ワインコルク栓を開けるとき、コルク栓が割れたり欠けたりするのを防ぐワインコルク抜き器を提供する。 To provide a wine cork-removing tool in which a cork plug is prevented from being cracked or damaged when the wine cork plug is opened. したがって、コイル部４のコルク栓１０への捻じ込みの際にコルク栓抜き具１の姿勢を安定させることができる。 Accordingly, it is possible to stabilize the attitude of the cork plug remover 1 when the coil portion 4 is screwed into the cork plug 10. さらに、給湯機２の下部に水抜き兼用混合水栓１２１を、あらかじめ一体的に取り付ける。 Further a draining/combination tap 121 is integrally mounted at the lower part of the water heater 2 in advance.	63310	4919	0
とがる	とがる	togaru	be sharp	verb	この 鉛筆[えんぴつ]はとがっていますね。	This pencil is sharp.	鉛筆 【えんぴつ】  (n) pencil	彼[かれ]は 不服[ふふく]そうに 口[くち]をとがらせた。 He pouted with dissatisfaction.  彼[かれ]の 鉛筆[えんぴつ]は 先[さき]がとがっている。 His pencil has a sharp point. この 棒[ぼう]は 先[さき]がとがっている。 This pole is sharp at the end.  彼[かれ]はとがった 声[こえ]を 出[だ]した。 He cried in an angry voice.  彼[かれ]はそのことで 神経[しんけい]をとがらせている。 He is nervous about it.  彼女[かのじょ]の 言い方[いいかた]は 私[わたし]の 神経[しんけい]を 尖[とが]らせる。 Her manner of speaking gets on my nerves.  彼女[かのじょ]の 物[もの]の 言い方[いいかた]は 私[わたし]の 神経[しんけい]をとがらせる。 Her manner of speaking gets on my nerves.  少年[しょうねん]はエンピツをとがらせておくのが 好[す]きだった。 The boy liked to keep his pencils sharp. きつつきは、 長[なが]く 尖[と]ったくちばしで、 木[き]の 幹[みき]をつついて、 中[なか]にいる 虫[むし]を 食[た]べます。 Woodpeckers peck tree trunks with their long pointed beaks and eat insects found there. ハモよりも細身で、和名通り吻が前方に尖る。 It is thinner than the conger pike, and the nose tapers to a point as the Japanese name shows.	289585	4945	0
臭う	臭[にお]う	niou	stink (unpleasant)	verb	流[なが]しが 臭[にお]うのできれいにしたよ。	I cleaned the sink because it stank.	流し 【ながし】  (n) (1) sink; (adj-no) (2) cruising (e.g. taxi)  臭う 【におう】  (v5u,vi) (1) to be fragrant; to smell (good); (2) to stink; to smell (bad); (3) to glow; to be bright  きれい  (adj-na,n) pretty; clean; nice; tidy; beautiful; fair	"この 辺[あたり] 臭[にお]うんだけど。 Something stinks here. 「 汗[あせ]でびしょ 濡[ぬ]れだよ」「 離[はな]れてっ。 臭[にお]いわっ！」 ""I'm soaked with sweat.' ""Step back. You stink!"" これはちょっと臭うね. I suspect some illegality here. この辺臭うんだけど。 Something stinks here. また飲んできたわね. 臭うわよ. You've been drinking again, haven't you? I can smell it on you. これはちょっと臭うね. 〈犯罪の気配がする〉 This smells illegal [fishy]. 近年は、交通の便が悪くなることや、臭うという理由で住民から嫌われることがある。 In the last few years, many local residents have come to dislike street stalls due to the traffic problems they cause, as well as the strong odors created from the food. （かつぎに向って）「こりゃあ精進料理か（出汁に魚などを使っていないだろうな？）」「いえ生臭うございます（だしに魚を使っています）」「ご精進かは知らねども、わしが給仕じゃ、（くわんぺら門兵衛に向って）一杯あがれ」とやりとりあって、最終的に、うどんをくわんぺら門兵衛の頭からかけてしまう。 Sukeroku says to the vendor, 'Don't you use fish broth in this?'--the vendor answers 'Yes, we use fish broth'--To Monbei, 'I don't know if you abstain from fish or not, but I'll serve them to you!,' and eventually brings the noodle box up over Monbei's head and dumps it upside-down on his head. たばこは臭う smoking stinks このどぶはいやに臭うね. Doesn't this ditch stink!"	15362	5592	0
のんき	のんき	nonki	carefree, happy-go-lucky	adjectival noun	彼[かれ]はずいぶんのんきなやつだ。	He's a very happy-go-lucky guy.	彼 【かれ; あれ】  (n) (かれ) (1) he; (2) boyfriend; (あれ) (1) that (indicating something distant from both speaker and listener); that person  のんき  (adj-na,n) carefree; optimistic; careless; reckless; heedless; happy-go-lucky; easygoing	火[ひ]の 暖気[だんき]で 彼女[かのじょ]のほおが 赤[あか]く 染[ ]まった。 Her cheeks were tinged with red by the warmth of fire. 火の暖気で彼女のほおが赤く染まった。 Her cheeks were tinged with red by the warmth of fire. この結果、暖気運転の時間を短くすることができる。 As a result, the time for warming-up operation can be shortened. 断熱材を基材に貼り付けて断熱するだけでなく、夏季には暖気を外部へ排出し、冬季には暖気を通風させて、断熱効果を高める。 In addition to application of heat insulation material to base material for heat insulation, warm air is discharged outward in summer, and warm air is ventilated in winter for heat insulation effect. 投入した雪は、暖気との接触面積が大きくなるように暖気放出体５によって切断、破砕される。 The charged snow is cut and crushed by the warm air discharge body 5 so as to increase an area of contact with the warm air. 以下、暖気運転のシーケンスを繰り返す（Ｓ３→Ｓ４→Ｓ５→Ｓ６→Ｓ７→Ｓ３）。 The, the sequence of the warm-up operation is repeated (S3→S6→S7→S3). 打瀬（うたせ）とは、醸造の工程のなかで、荒櫂（あらがい）から初暖気（はつだき）までの間をいう。 The utase is a part of the brewing process from the aragai (stirring with a mash paddle) to the hatsudaki (the first warming process). 触媒の暖気性を向上させることができるエンジンの排気構造を提供する。 To provide an exhaust structure for an engine capable of improving warming-up properties of a catalyst. エンジンの冷却水装置に関し、エンジンの暖気を促進させながら、燃費を効果的に向上する。 To provide an engine cooling water device that effectively improves fuel consumption, while promoting engine warming-up. この暖気は、第１〜第３床吹き出し口１１Ｈ〜１３Ｈから室内空間にも導入される。 The heated air is also introduced to indoor spaces through first to third floor blowout ports 11H to 13H.	17197	4952	1
はしご	はしご	hashigo	ladder	noun	はしごを 使[つか]って 屋根[やね]に 上[のぼ]りました。	I went up to the roof on a ladder.	(te-form) 使う 【つかう】  (v5u,vt) (1) to use (a thing, method, etc.); to make use of; to put to use; (2) to use (a person, animal, puppet, etc.); to employ; to handle; to manage; to manipulate; (3) to use (time, money, etc.); to spend; to consume; (4) to use (language); to speak; (5) (id) to take (one's lunch); to circulate (bad money)  屋根に上がる 【やねにあがる】  (exp) to go up on the roof	彼[かれ]は 梯子[はしご]を 登[のぼ]ります。 He's going to climb the ladder.  彼女[かのじょ]はしごを 滑り落[すべりお]ちた。 She fell down the ladder.  彼女[かのじょ]ははしごを 滑り降[すべりお]りた。 She fell down the ladder.  彼女[かのじょ]ははしごを 滑り落[すべりお]ちた。 She fell down the ladder. そのはしごは 泥塗[どろまみ]れだった。 The ladder was covered with mud. このはしごをしっかり 押[お]さえてくれ。 Hold this ladder steady.  彼[かれ]ははしごに 片足[かたあし]を 掛[か]けた。 He put his foot on the ladder.  彼[かれ]ははしごの 途中[とちゅう]まで 登[の]った。 He ascended the ladder halfway.  彼女[かのじょ]ははしごを 昇[の]っていた。 She was going up a ladder. はしごを 壁[かべ]に 立[た]てかけなさい。 Stand the ladder against the wall.	289142	4962	0
引っ掛ける	引[ひ]っ掛[か]ける	hikkakeru	hook (something) on	verb	その 選手[せんしゅ]はハードルに 足[あし]を 引[ひ]っ 掛[か]けたんだ。	The athlete caught his foot on the hurdle.	選手 【せんしゅ】  (n) player (in game); team member  ハードル  (n) hurdle  足 【あし】  (n) (1) foot; (2) leg; (3) gait; (4) pace; (5) bottom structural component (i.e. radical) of a kanji; (6) means of transportation  (plain, past) 引っ掛ける 【ひっかける】  (v1,vt) (1) to hang (something) on (something); to throw on (clothes); (2) to hook; to catch; to trap; to ensnare; (3) to cheat; to evade payment; to jump a bill; (4) to drink (alcohol); (5) to splash someone (with); (6) to hit the ball off the end of the bat (baseball)	セーターをあの 釘[くぎ]にひっかけた。 I caught my sweater on that nail.  彼[かれ]は 私[わたし]たちに 水[みず]をひっかけた。 He dashed us with water.  彼女[かのじょ]は 上着[うわぎ]を 引[ひ]っかけると 外[そと]へ 出[で]た。 She threw on a coat and went. 敵を引っ掛けるなどの目的で用いられた。 It was used for grappling enemies and so on. 先に引っ掛けるので当然長さは2倍になる。 Since it is hooked on the tip, the length is naturally doubled. また、餌をつけない針金で引っ掛ける「から釣り漁法」も存在する。 There is also an 'empty fishing method' that hooks the octopus with a wire with no bait. テープリーダには楕円形の穴があり、 ドライブがテープを 引っ掛けるのに使います。 The tape leader has an oval hole in it which the drive uses to hook the tape. 襟の留め方は袍と同様に「蜻蛉」という留め具を受け口に引っ掛けるタイプのもの。 Just like on ho, a button on the sleeve of kariginu is called 'kagero' (mayfly) that is passed through a hole. 上記背もたれの頂部に引っ掛けるため上記帯バンドの両端間に補助バンドを連結する。 An auxiliary band is connected between both ends of the band to be hooked on the top part of the backrest. 同時に二種類の被引っ掛け対象物を容易かつ適切に引っ掛けることができるようにする。 To easily and properly hook two kinds of objects at the same time.	16818	5730	1
麓	麓[ふもと]	fumoto	foot of the mountain	noun	彼[かれ]は 山[やま]の 麓[ふもと]に 住[す]んでいるよ。	He lives at the foot of a mountain.	彼 【かれ; あれ】  (n) (かれ) (1) he; (2) boyfriend; (あれ) (1) that (indicating something distant from both speaker and listener); that person  山 【やま】  (n) (1) mountain; (2) pile; heap; (3) climax; critical point; (4) speculated area covered by an examination  ふもと  (n) the foot; the bottom; the base (of a mountain) (te-form) 住む 【すむ】  (v5m,vi) to live (of humans); to reside; to inhabit; to dwell; to abide	それは 富士山[ふじさん]の 麓[ふもと]にある。 It is located at the foot of Mt. Fuji.  彼[かれ]の 家[いえ]は 富士山[ふじさん]のふもとにある。 His house is at the foot of Mt. Fuji.  彼女[かのじょ]の 家[いえ]は 山[やま]のふもとにあります。 Her house is at the foot of a mountain.  教会[きょうかい]は 丘[おか]のふもとにある。 The church is at the foot of the hill. そのホテルは 山[やま]のふもとにあります。 The hotel is at the foot of a mountain.  丘[おか]のふもとに 美[うつく]しい 湖[みずうみ]がある。 At the foot of the hill is a beautiful lake.  彼[かれ]の 家[いえ]は 丘[おか]のふもとのある。 His house is at the foot of the hill.  山[やま]のふもとに 古[ふる]い 城[しろ]がある。 There is an old castle at the foot of the mountain. その 学校[がっこう]は 丘[おか]のふもとにあります。 The school is located at the foot of a hill.  彼[かれ]らは 丘[おか]のふもとの 村[むら]にたどり 着[つ]いた。 They got to a village under a hill.	12484	5990	0
ほうき	ほうき	houki	broom	noun	ほうきで 庭[にわ]を 掃除[そうじ]しました。	I cleaned up the yard with a broom.	ほうき  (n,vs) broom 庭 【にわ】  (n) garden  掃除 【そうじ】  (n,vs) cleaning; sweeping  しました  (aux-v) did	彼[かれ]はその 考[かんが]えを 放棄[ほうき]した。 He abandoned the idea. その 計画[けいかく]は 放棄[ほうき]された。 The plans were discarded.  会社[かいしゃ]はその 計画[けいかく]を 放棄[ほうき]した。 The company abandoned that project.  日本[にっぽん] 国民[こくみん]は 戦争[せんそう]を 放棄[ほうき]している。 The Japanese people have renounced war.  乗組[のりくみ] 員[いん]はその 船[ふね]を 放棄[ほうき]した。 The crew abandoned the ship.  彼[かれ]はその 土地[とち]の 所有[しょゆう] 権[けん]を 放棄[ほうき]した。 He renounced the ownership of the land.  多[おお]くの 障害[しょうがい]にも 関[かか]わらず、 彼[かれ]は 放棄[ほうき]しなかった。 He refused to quit despite many obstacles.  理事[りじ] 会[かい]は 海外[かいがい]の 持ち株[もちかぶ]を 放棄[ほうき]することを 議決[ぎけつ]しました。 The Board of Trustees voted to divest the organization's overseas holdings. その 計画[けいかく]は 資金[しきん] 不足[ふそく]のためについに 放棄[ほうき]された。 The plan was given up at length because funds ran short. いったん 物事[ものごと]を 始[はじ]めた 以上[いじょう]、 途中[とちゅう]で 放棄[ほうき]してはいけない。 Once you have begun to do something, never give it up.	17923	4965
ほほ笑む	ほほ笑[え]む	hohoemu	smile	verb	彼女[かのじょ]は 私[わたし]にほほ 笑[え]んだよ。	She smiled at me.	彼女 【かのじょ】  (pn,adj-no) (1) she; her; (2) girl friend; girlfriend; sweetheart  私 【あたい; あたし; わし; わたくし; わたし】  (あたい) (adj-no,n) (fem) I; (わし) ; (adj-no,n) I; me (used by elderly); (わたし; わたくし) ; (adj-no,n) I; myself; private affairs	その 母親[ははおや]はにっこりとほほ 笑[え]みながら、 彼女[かのじょ]の 赤[あか]ちゃんに 手[て]を 差し出[さしだ]した。 The mother extended her hand to her baby, smiling brightly. 君は微笑む。 You will smile. 君は微笑む。 You smile. ほほえむだけでは意味がない。 Just smiling is meaningless. あなたは私に微笑む。 You smile at me. 彼は不運にもほほえむことができる[耐える力がある]. He's able to smile at misfortune. なんと言ってよいかわからず、彼女はただほほえむだけだった。 Not knowing what to say, she just smiled. ドアの前で彼女たちはぼくをふりかえってほほえむと、戸内の暖かい闇の中へ染み入るように消える。 and they turned and smiled back at me before they faded through a door into warm darkness. あなたが微笑むたびもっと見たくなる。 Every time you smile I want some more. 何といって良いか分からず、彼女はただ微笑むだけだった。 Not knowing what to say, she just smiled.	27828	5036	1
